DATASET PATH: C:/Users/Tobia/workspace/ToyBeispiel/TempPP.dat

Vektor n [Desired-Out | Final-Result | Difference]


Vektor 1	 [59.105737902594	 | 59.64808416435651	 | -0.5423462617625106]
Vektor 2	 [16.809688888588596	 | 16.914563349433323	 | -0.10487446084472651]
Vektor 3	 [46.66650238878141	 | 46.64710079013239	 | 0.01940159864901858]
Vektor 4	 [54.2226847830021	 | 54.44365468936164	 | -0.22096990635953517]
Vektor 5	 [34.827137415097205	 | 35.465955166508586	 | -0.6388177514113806]
Vektor 6	 [3.31848245914807	 | 2.9997022564432414	 | 0.31878020270482876]
Vektor 7	 [14.5489937298664	 | 15.706450799346118	 | -1.1574570694797188]
Vektor 8	 [36.625115646405405	 | 36.65168360995361	 | -0.02656796354820301]
Vektor 9	 [4.337828732043731	 | 3.7570301311102057	 | 0.5807986009335258]
Vektor 10	 [32.1497252881465	 | 32.27524111446785	 | -0.1255158263213545]
Vektor 11	 [16.406666112460197	 | 17.403834535508977	 | -0.9971684230487803]
Vektor 12	 [41.3692111840598	 | 41.351714985545726	 | 0.017496198514074024]
Vektor 13	 [7.8993800355938	 | 6.935415140636186	 | 0.9639648949576136]
Vektor 14	 [3.610283390927651	 | 5.801589744278033	 | -2.191306353350382]
Vektor 15	 [77.5029680653672	 | 78.51045350613558	 | -1.0074854407683773]
Vektor 16	 [51.2196751829655	 | 51.28953388545147	 | -0.06985870248596626]
Vektor 17	 [8.145439354297782	 | 9.924710234425898	 | -1.7792708801281165]
Vektor 18	 [10.953056884368799	 | 10.148926792190792	 | 0.8041300921780064]
Vektor 19	 [1.84067356009077	 | 4.098444386689401	 | -2.257770826598631]
Vektor 20	 [9.806854069575662	 | 8.901888942082488	 | 0.904965127493174]
Vektor 21	 [71.3870686703955	 | 72.26644770167553	 | -0.8793790312800382]
Vektor 22	 [29.224653485850503	 | 30.24729578873241	 | -1.0226423028819056]
Vektor 23	 [32.606795461697004	 | 33.42580450926577	 | -0.8190090475687626]
Vektor 24	 [21.208098789487703	 | 21.963400833693335	 | -0.7553020442056315]
Vektor 25	 [5.7606050659165	 | 7.774324334971701	 | -2.0137192690552013]
Vektor 26	 [11.4450660708752	 | 12.893777317454955	 | -1.4487112465797551]
Vektor 27	 [12.869281001098798	 | 14.181068843951827	 | -1.311787842853029]
Vektor 28	 [18.1847867851842	 | 18.518767670850306	 | -0.3339808856661044]
Vektor 29	 [22.089533366715603	 | 22.93776299637274	 | -0.848229629657137]
Vektor 30	 [2.781259479258701	 | 2.635041006040401	 | 0.14621847321830028]
Vektor 31	 [61.71534010815309	 | 62.05504411497994	 | -0.33970400682684954]
Vektor 32	 [3.76453613069845	 | 5.945338132590859	 | -2.180802001892409]
Vektor 33	 [59.69866447611249	 | 60.28073677977846	 | -0.5820723036659672]
Vektor 34	 [18.884104384578702	 | 19.68600656009916	 | -0.801902175520457]
Vektor 35	 [2.1719478793549394	 | 2.255258166636829	 | -0.08331028728188983]
Vektor 36	 [20.932350320709	 | 21.65549975936228	 | -0.7231494386532802]
Vektor 37	 [30.731677680195	 | 31.678650225440382	 | -0.9469725452453837]
Vektor 38	 [22.181293007963095	 | 23.038308178156534	 | -0.8570151701934385]
Vektor 39	 [55.5181536286878	 | 55.672124884612295	 | -0.15397125592449612]
Vektor 40	 [35.6971856446551	 | 35.739480172227765	 | -0.04229452757266472]
Vektor 41	 [1.4964627571609705	 | 1.8859566490760733	 | -0.38949389191510275]
Vektor 42	 [26.495337451003003	 | 27.567804485114962	 | -1.072467034111959]
Vektor 43	 [62.28586424114269	 | 62.64530401750581	 | -0.35943977636311786]
Vektor 44	 [75.30042840356262	 | 76.2024741281284	 | -0.9020457245657809]
Vektor 45	 [7.104313358110041	 | 8.987987675466796	 | -1.8836743173567552]
Vektor 46	 [62.6088462546064	 | 63.36950369123626	 | -0.7606574366298631]
Vektor 47	 [20.1455414556587	 | 20.8564497741353	 | -0.7109083184765979]
Vektor 48	 [37.9502354704069	 | 37.95849279998251	 | -0.00825732957560632]
Vektor 49	 [35.29374785298321	 | 35.34364222193242	 | -0.04989436894921084]
Vektor 50	 [79.0986877256072	 | 79.18028292604686	 | -0.08159520043965074]
Vektor 51	 [55.82577396964529	 | 56.14674921054424	 | -0.320975240898953]
Vektor 52	 [2.96714614830098	 | 5.19610142987155	 | -2.2289552815705704]
Vektor 53	 [5.497828577329651	 | 7.535864638689022	 | -2.038036061359371]
Vektor 54	 [62.05401144658641	 | 62.40538165665619	 | -0.3513702100697813]
Vektor 55	 [14.311660818631498	 | 15.490406235923993	 | -1.178745417292495]
Vektor 56	 [9.207844706603119	 | 8.268330504904828	 | 0.9395142016982909]
Vektor 57	 [16.398851367859603	 | 16.432965391679407	 | -0.03411402381980366]
Vektor 58	 [28.101483593503907	 | 29.15980569984772	 | -1.0583221063438124]
Vektor 59	 [33.10916050645961	 | 33.889324531514475	 | -0.7801640250548658]
Vektor 60	 [9.411604052189	 | 11.062869081591765	 | -1.651265029402765]
Vektor 61	 [35.8296600971299	 | 36.38319573737846	 | -0.5535356402485547]
Vektor 62	 [39.960921459999305	 | 39.95038816046509	 | 0.010533299534216667]
Vektor 63	 [42.4360336395908	 | 42.41652931821839	 | 0.0195043213724162]
