DATASET PATH: C:/Users/Subadmin/workspace/ToyBeispiel/TempPP.dat

Vektor 1 [Desired-Out = 44.5051263216951 | Final-Result = 44.48941057988644 | Diff. = 0.015715741808662642]
Vektor 2 [Desired-Out = 41.4842001245556 | Final-Result = 41.62831210651888 | Diff. = -0.14411198196327746]
Vektor 3 [Desired-Out = 3.75458184735451 | Final-Result = 3.2939019954464257 | Diff. = 0.46067985190808436]
Vektor 4 [Desired-Out = 9.56402620000046 | Final-Result = 11.226539911963226 | Diff. = -1.6625137119627649]
Vektor 5 [Desired-Out = 17.5234877559049 | Final-Result = 17.437095045275495 | Diff. = 0.08639271062940423]
Vektor 6 [Desired-Out = 48.4654632632976 | Final-Result = 48.0344790497222 | Diff. = 0.4309842135753996]
Vektor 7 [Desired-Out = 60.2356403284453 | Final-Result = 59.873953331901085 | Diff. = 0.3616869965442149]
Vektor 8 [Desired-Out = 68.8374740102585 | Final-Result = 69.98679848743973 | Diff. = -1.1493244771812243]
Vektor 9 [Desired-Out = 30.8038422259873 | Final-Result = 30.397053115592968 | Diff. = 0.40678911039433174]
Vektor 10 [Desired-Out = 1.0823651123756497 | Final-Result = 3.207304910153498 | Diff. = -2.1249397977778486]
Vektor 11 [Desired-Out = 7.808052120789429 | Final-Result = 6.50326238224331 | Diff. = 1.304789738546119]
Vektor 12 [Desired-Out = 12.571261719050497 | Final-Result = 11.691300989118528 | Diff. = 0.8799607299319696]
Vektor 13 [Desired-Out = 6.089598819442431 | Final-Result = 5.130924503834428 | Diff. = 0.9586743156080031]
Vektor 14 [Desired-Out = 2.5899487005446096 | Final-Result = 4.840091941461854 | Diff. = -2.250143240917245]
Vektor 15 [Desired-Out = 1.2925162943460107 | Final-Result = 3.312963369266339 | Diff. = -2.0204470749203285]
Vektor 16 [Desired-Out = 13.436770599642502 | Final-Result = 12.427382195043883 | Diff. = 1.009388404598619]
Vektor 17 [Desired-Out = 45.0862382309104 | Final-Result = 44.332710947034904 | Diff. = 0.7535272838754992]
Vektor 18 [Desired-Out = 10.398857672122897 | Final-Result = 11.68299397044057 | Diff. = -1.284136298317673]
Vektor 19 [Desired-Out = 14.383843216987902 | Final-Result = 13.667844549341666 | Diff. = 0.715998667646236]
Vektor 20 [Desired-Out = 47.871706678738214 | Final-Result = 46.792598299911226 | Diff. = 1.0791083788269873]
Vektor 21 [Desired-Out = 3.938825305014781 | Final-Result = 3.565561974632671 | Diff. = 0.3732633303821098]
Vektor 22 [Desired-Out = 1.1638985600935696 | Final-Result = 3.538060903745392 | Diff. = -2.3741623436518227]
Vektor 23 [Desired-Out = 39.2093483585051 | Final-Result = 38.93044164559983 | Diff. = 0.27890671290527536]
Vektor 24 [Desired-Out = 58.4423044597534 | Final-Result = 58.70618282686088 | Diff. = -0.26387836710748047]
Vektor 25 [Desired-Out = 18.029622380130096 | Final-Result = 18.681588838728583 | Diff. = -0.651966458598487]
Vektor 26 [Desired-Out = 5.332277539783691 | Final-Result = 7.096496076888734 | Diff. = -1.7642185371050427]
Vektor 27 [Desired-Out = 9.38133428719408 | Final-Result = 10.367034874792308 | Diff. = -0.9857005875982274]
Vektor 28 [Desired-Out = 22.593084098448305 | Final-Result = 21.789092876934284 | Diff. = 0.8039912215140212]
Vektor 29 [Desired-Out = 19.428939248987803 | Final-Result = 19.4511670364197 | Diff. = -0.02222778743189835]
Vektor 30 [Desired-Out = 76.9717337654945 | Final-Result = 76.50752439470705 | Diff. = 0.46420937078745794]
Vektor 31 [Desired-Out = 20.1734836743573 | Final-Result = 20.507115967784376 | Diff. = -0.3336322934270761]
Vektor 32 [Desired-Out = 33.8316458766585 | Final-Result = 32.797621448963326 | Diff. = 1.0340244276951722]
Vektor 33 [Desired-Out = 8.751892691376511 | Final-Result = 7.780662655729028 | Diff. = 0.9712300356474834]
Vektor 34 [Desired-Out = 37.1356874001095 | Final-Result = 37.874479379769284 | Diff. = -0.738791979659787]
Vektor 35 [Desired-Out = 11.985459510605299 | Final-Result = 13.205892230493035 | Diff. = -1.2204327198877358]
Vektor 36 [Desired-Out = 19.9404225885825 | Final-Result = 20.00872973452956 | Diff. = -0.06830714594705967]
Vektor 37 [Desired-Out = 46.7423349972412 | Final-Result = 45.546753341356656 | Diff. = 1.1955816558845456]
Vektor 38 [Desired-Out = 70.2860758972617 | Final-Result = 71.51608278644711 | Diff. = -1.2300068891854181]
Vektor 39 [Desired-Out = 2.543110843368011 | Final-Result = 2.354987711428283 | Diff. = 0.18812313193972807]
Vektor 40 [Desired-Out = 38.9825491318212 | Final-Result = 38.67160140271085 | Diff. = 0.31094772911035307]
Vektor 41 [Desired-Out = 67.9653697521161 | Final-Result = 68.01242490759118 | Diff. = -0.047055155475078436]
Vektor 42 [Desired-Out = 61.8380890712792 | Final-Result = 61.718588612333896 | Diff. = 0.11950045894530348]
Vektor 43 [Desired-Out = 1.5243582698889493 | Final-Result = 1.8494888161018723 | Diff. = -0.32513054621292303]
Vektor 44 [Desired-Out = 21.71305078182469 | Final-Result = 22.163394268654 | Diff. = -0.4503434868293077]
Vektor 45 [Desired-Out = 29.169599866853506 | Final-Result = 29.702001482890843 | Diff. = -0.5324016160373368]
Vektor 46 [Desired-Out = 52.0950633122147 | Final-Result = 51.17195067624268 | Diff. = 0.9231126359720179]
Vektor 47 [Desired-Out = 2.618692772442979 | Final-Result = 4.972886399872804 | Diff. = -2.354193627429825]
Vektor 48 [Desired-Out = 4.59117114732244 | Final-Result = 6.5385479405873745 | Diff. = -1.9473767932649348]
Vektor 49 [Desired-Out = 6.3265741651697 | Final-Result = 5.057758036284046 | Diff. = 1.2688161288856543]
Vektor 50 [Desired-Out = 37.0279324380865 | Final-Result = 36.66906659652298 | Diff. = 0.35886584156352086]
Vektor 51 [Desired-Out = 29.01676215939841 | Final-Result = 28.720943853497275 | Diff. = 0.2958183059011361]
Vektor 52 [Desired-Out = 54.2347895692287 | Final-Result = 53.87098517144475 | Diff. = 0.36380439778395157]
Vektor 53 [Desired-Out = 59.9707907777036 | Final-Result = 60.390665420239785 | Diff. = -0.4198746425361861]
Vektor 54 [Desired-Out = 22.975255536215403 | Final-Result = 23.1403497278179 | Diff. = -0.1650941916024955]
Vektor 55 [Desired-Out = 1.5131064916358605 | Final-Result = 1.7303223086782409 | Diff. = -0.21721581704238035]
Vektor 56 [Desired-Out = 52.3348387503644 | Final-Result = 51.56666501509198 | Diff. = 0.7681737352724198]
Vektor 57 [Desired-Out = 46.868800126312 | Final-Result = 46.57899642223963 | Diff. = 0.28980370407236933]
Vektor 58 [Desired-Out = 43.09884868133409 | Final-Result = 43.00465484579274 | Diff. = 0.09419383554134697]
Vektor 59 [Desired-Out = 4.06110296412904 | Final-Result = 6.237317664089302 | Diff. = -2.176214699960262]
Vektor 60 [Desired-Out = 51.9309900078242 | Final-Result = 51.51066572410022 | Diff. = 0.42032428372397845]
Vektor 61 [Desired-Out = 21.9959589208071 | Final-Result = 22.69118783627419 | Diff. = -0.6952289154670872]
